iter	Passed	Remaining
0	133	133522
1	134	67011
2	134	44816
3	135	33716
4	135	27056
5	136	22614
6	137	19441
7	137	17063
8	138	15211
9	138	13730
10	139	12520
11	139	11510
12	140	10656
13	140	9924
14	141	9289
15	141	8732
16	142	8242
17	143	7806
18	143	7415
19	144	7063
20	144	6746
21	145	6457
22	145	6195
23	146	5954
24	146	5730
25	147	5524
26	147	5331
27	148	5152
28	148	4984
29	149	4828
30	149	4681
31	150	4544
32	150	4415
33	151	4294
34	151	4180
35	152	4072
36	152	3970
37	153	3873
38	153	3781
39	153	3693
40	154	3610
41	154	3531
42	155	3455
43	155	3383
44	156	3314
45	156	3248
46	157	3186
47	157	3126
48	158	3068
49	158	3013
50	159	2960
51	159	2909
52	160	2860
53	160	2812
54	161	2767
55	161	2722
56	161	2679
57	162	2639
58	162	2599
59	163	2560
60	163	2523
61	164	2487
62	164	2452
63	165	2418
64	165	2385
65	166	2353
66	166	2323
67	167	2290
68	167	2260
69	168	2232
70	168	2205
71	169	2178
72	169	2152
73	169	2127
74	170	2102
75	170	2078
76	171	2054
77	171	2032
78	172	2010
79	172	1988
80	173	1966
81	173	1946
82	174	1926
83	174	1906
84	175	1885
85	175	1867
86	176	1847
87	176	1829
88	177	1812
89	177	1795
90	178	1778
91	178	1761
92	178	1745
93	179	1730
94	179	1714
95	180	1699
96	180	1684
97	181	1669
98	181	1655
99	182	1641
100	182	1627
101	183	1612
102	183	1598
103	184	1585
104	184	1573
105	185	1560
106	185	1548
107	185	1535
108	186	1523
109	186	1512
110	187	1500
111	187	1489
112	188	1478
113	188	1467
114	189	1457
115	189	1445
116	190	1435
117	190	1425
118	191	1414
119	191	1404
120	192	1395
121	192	1385
122	192	1374
123	193	1365
124	193	1356
125	194	1347
126	194	1338
127	195	1328
128	195	1319
129	195	1311
130	196	1303
131	196	1295
132	197	1287
133	197	1279
134	198	1271
135	198	1263
136	199	1255
137	199	1247
138	200	1240
139	200	1233
140	201	1225
141	201	1218
142	202	1211
143	202	1204
144	203	1198
145	203	1191
146	204	1184
147	204	1178
148	205	1171
149	205	1164
150	206	1158
151	206	1152
152	207	1146
153	207	1140
154	208	1134
155	208	1127
156	208	1122
157	209	1116
158	209	1110
159	210	1104
160	210	1099
161	211	1093
162	211	1087
163	212	1082
164	212	1077
165	213	1071
166	213	1066
167	214	1061
168	214	1056
169	215	1051
170	215	1046
171	216	1041
172	216	1036
173	217	1031
174	217	1026
175	218	1021
176	218	1016
177	219	1012
178	219	1007
179	220	1002
180	220	997
181	220	992
182	221	988
183	221	983
184	222	979
185	222	975
186	223	970
187	223	966
188	224	962
189	224	957
190	225	953
191	225	949
192	226	945
193	226	941
194	227	937
195	227	933
196	228	929
197	228	926
198	229	922
199	229	918
200	230	914
201	230	910
202	231	907
203	231	903
204	232	899
205	232	896
206	233	892
207	233	889
208	233	885
209	234	882
210	234	878
211	235	875
212	235	871
213	236	868
214	236	865
215	237	861
216	237	858
217	238	855
218	238	851
219	239	848
220	239	845
221	240	842
222	240	838
223	241	835
224	241	832
225	242	829
226	242	826
227	243	823
228	243	820
229	244	817
230	244	814
231	245	811
232	245	808
233	246	805
234	246	802
235	247	799
236	247	796
237	248	794
238	248	791
239	248	788
240	249	785
241	249	782
242	250	780
243	250	777
244	251	774
245	251	772
246	252	769
247	252	766
248	253	764
249	253	761
250	254	758
251	254	756
252	255	753
253	255	751
254	256	748
255	256	745
256	257	743
257	257	741
258	258	738
259	258	736
260	259	733
261	259	731
262	260	728
263	260	726
264	261	724
265	261	721
266	262	719
267	262	717
268	263	714
269	263	712
270	263	710
271	264	707
272	264	705
273	265	703
274	265	701
275	266	698
276	266	696
277	267	694
278	267	692
279	268	690
280	268	687
281	269	685
282	269	683
283	270	681
284	270	679
285	271	677
286	271	675
287	272	672
288	272	670
289	273	668
290	273	666
291	274	664
292	274	662
293	275	660
294	275	658
295	276	656
296	276	654
297	277	652
298	277	650
299	277	648
300	278	646
301	278	644
302	279	642
303	279	640
304	280	638
305	280	637
306	281	635
307	281	633
308	282	631
309	282	629
310	283	627
311	283	625
312	284	623
313	284	622
314	285	620
315	285	618
316	286	616
317	286	614
318	287	613
319	287	611
320	288	609
321	288	607
322	289	605
323	289	604
324	289	602
325	290	600
326	290	598
327	291	597
328	291	595
329	292	593
330	292	592
331	293	590
332	293	588
333	294	587
334	294	585
335	295	583
336	295	582
337	296	580
338	296	578
339	297	577
340	297	575
341	298	574
342	298	572
343	299	570
344	299	569
345	300	567
346	300	566
347	301	564
348	301	562
349	302	561
350	302	559
351	303	558
352	303	556
353	304	554
354	304	553
355	305	551
356	305	550
357	306	548
358	306	547
359	307	546
360	307	544
361	308	543
362	308	541
363	309	540
364	309	538
365	310	537
366	310	535
367	311	534
368	311	532
369	312	531
370	312	529
371	313	528
372	313	527
373	314	525
374	314	524
375	315	522
376	315	521
377	316	520
378	316	518
379	316	517
380	317	515
381	317	514
382	318	512
383	318	511
384	319	510
385	319	508
386	320	507
387	320	506
388	321	504
389	321	503
390	322	501
391	322	500
392	323	499
393	323	497
394	324	496
395	324	495
396	325	494
397	325	492
398	326	491
399	326	490
400	327	489
401	327	487
402	328	486
403	329	485
404	329	484
405	330	483
406	330	481
407	331	480
408	331	479
409	332	478
410	332	476
411	333	475
412	333	474
413	334	472
414	334	471
415	335	470
416	335	469
417	336	467
418	336	466
419	337	465
420	337	464
421	338	462
422	338	461
423	339	460
424	339	459
425	339	458
426	340	456
427	340	455
428	341	454
429	341	453
430	342	451
431	342	450
432	343	449
433	343	448
434	344	447
435	344	445
436	345	444
437	345	443
438	346	442
439	346	441
440	347	440
441	347	438
442	348	437
443	348	436
444	349	435
445	349	434
446	350	433
447	350	431
448	351	430
449	351	429
450	352	428
451	352	427
452	352	426
453	353	425
454	353	423
455	354	422
456	354	421
457	355	420
458	356	419
459	356	418
460	357	417
461	357	416
462	358	415
463	358	414
464	359	413
465	359	412
466	360	410
467	360	409
468	361	408
469	361	407
470	362	406
471	362	405
472	363	404
473	363	403
474	364	402
475	364	401
476	365	400
477	365	399
478	366	398
479	366	397
480	367	396
481	367	395
482	368	394
483	368	393
484	369	392
485	369	391
486	370	390
487	370	389
488	371	388
489	371	387
490	372	386
491	372	385
492	373	384
493	373	383
494	374	382
495	374	381
496	375	380
497	375	379
498	376	378
499	377	377
500	377	376
501	378	375
502	378	374
503	379	373
504	379	372
505	380	371
506	380	370
507	381	369
508	381	368
509	382	367
510	382	366
511	383	365
512	383	364
513	384	363
514	384	362
515	385	361
516	385	360
517	386	359
518	386	358
519	387	357
520	387	356
521	388	355
522	388	354
523	389	353
524	389	352
525	390	351
526	390	350
527	391	349
528	391	348
529	392	347
530	392	346
531	393	346
532	393	345
533	394	344
534	394	343
535	395	342
536	395	341
537	396	340
538	396	339
539	397	338
540	397	337
541	398	336
542	398	335
543	399	334
544	399	333
545	400	332
546	400	331
547	401	331
548	401	330
549	402	329
550	402	328
551	403	327
552	403	326
553	404	325
554	404	324
555	405	323
556	405	322
557	406	321
558	406	320
559	407	320
560	407	319
561	408	318
562	408	317
563	409	316
564	410	315
565	410	314
566	411	313
567	411	313
568	412	312
569	412	311
570	413	310
571	413	309
572	414	308
573	414	307
574	415	306
575	415	306
576	416	305
577	416	304
578	417	303
579	417	302
580	418	301
581	418	300
582	419	300
583	420	299
584	420	298
585	421	297
586	421	296
587	422	295
588	422	295
589	423	294
590	424	293
591	424	292
592	425	291
593	425	290
594	426	290
595	426	289
596	427	288
597	427	287
598	428	286
599	429	286
600	429	285
601	430	284
602	430	283
603	431	282
604	431	281
605	432	280
606	432	280
607	433	279
608	433	278
609	434	277
610	434	276
611	435	275
612	435	274
613	436	274
614	436	273
615	437	272
616	437	271
617	438	270
618	438	269
619	439	269
620	439	268
621	440	267
622	440	266
623	441	265
624	441	264
625	442	264
626	442	263
627	443	262
628	443	261
629	444	260
630	444	259
631	444	259
632	445	258
633	445	257
634	446	256
635	446	255
636	447	254
637	447	254
638	448	253
639	448	252
640	449	251
641	449	250
642	450	249
643	450	249
644	451	248
645	451	247
646	452	246
647	452	245
648	453	245
649	453	244
650	454	243
651	454	242
652	455	241
653	455	241
654	456	240
655	456	239
656	456	238
657	457	237
658	457	236
659	458	236
660	458	235
661	459	234
662	459	233
663	460	232
664	460	232
665	461	231
666	461	230
667	462	229
668	462	228
669	463	228
670	463	227
671	464	226
672	464	225
673	465	225
674	465	224
675	466	223
676	466	222
677	467	221
678	467	221
679	468	220
680	468	219
681	469	218
682	469	218
683	470	217
684	470	216
685	471	215
686	471	214
687	472	214
688	472	213
689	473	212
690	473	211
691	474	211
692	474	210
693	475	209
694	475	208
695	476	207
696	476	207
697	476	206
698	477	205
699	477	204
700	478	204
701	478	203
702	479	202
703	479	201
704	480	201
705	480	200
706	481	199
707	481	198
708	482	197
709	482	197
710	483	196
711	483	195
712	484	194
713	484	194
714	485	193
715	485	192
716	486	191
717	486	191
718	487	190
719	487	189
720	488	188
721	488	188
722	489	187
723	489	186
724	490	185
725	490	185
726	491	184
727	491	183
728	492	182
729	492	182
730	493	181
731	493	180
732	494	179
733	494	179
734	495	178
735	495	177
736	496	177
737	496	176
738	497	175
739	497	174
740	498	174
